ID,release_date,movie,production_budget,domestic_gross,domestic_gross_x,worldwide_gross,worldwide_gross_x,worldwide (without USA),distributor,mpaa_rating,genre
1766,"Friday, November 14, 1997",The Man Who Knew Too Little,2.00E+07,13801755,0.7,13801755,0.7,0,Warner †Bros.,PG,Comedy
218,"Friday, November 7, 1997",Starship Troopers,1.00E+08,54768952,0.5,121100000,1.2,66331048,Sony †Pictures,R,Action
2844,"Friday, November 7, 1997",Eve's Bayou,5.00E+06,14843425,3,14843425,3,0,Trimark,R,Drama
798,"Friday, November 7, 1997",Mad City,5.00E+07,10561038,0.2,10561038,0.2,0,Warner †Bros.,PG-13,Drama
2313,"Friday, October 31, 1997",Critical Care,1.20E+07,220175,0,220175,0,0,NA,R,Drama
1058,"Friday, October 31, 1997",Switchback,3.80E+07,6504442,0.2,6504442,0.2,0,Paramount †Pictures,R,Action
2506,"Friday, October 24, 1997",Rien ne va plus,1.00E+07,245359,0,5045359,0.5,4800000,New †Yorker,NA,Comedy
1085,"Friday, October 24, 1997",Gattaca,3.60E+07,12532777,0.3,12532777,0.3,0,Sony †Pictures,PG-13,Drama
1933,"Friday, October 17, 1997",I Know What You Did Last Summer,1.70E+07,72250091,4.3,125250091,7.4,53000000,Sony †Pictures,R,Horror
648,"Friday, October 17, 1997",Devil's Advocate,5.70E+07,61007424,1.1,153007424,2.7,92000000,Warner †Bros.,R,Drama
2871,"Friday, October 10, 1997",The Sweet Hereafter,5.00E+06,4306697,0.9,7951247,1.6,3644550,Fine †Line,R,Drama
2066,"Friday, October 10, 1997",Boogie Nights,1.50E+07,26410771,1.8,43111725,2.9,16700954,New †Line,R,Drama
471,"Wednesday, October 8, 1997",Seven Years in Tibet,7.00E+07,37945884,0.5,131445884,1.9,93500000,Sony †Pictures,PG-13,Drama
2643,"Friday, September 26, 1997",Soul Food,7500000,43492389,5.8,43492389,5.8,0,20th†Century†Fox,R,Comedy
773,"Friday, September 26, 1997",The Peacemaker,5.00E+07,41263140,0.8,62967368,1.3,21704228,Dreamworks †SKG,R,Action
1900,"Friday, September 26, 1997",The Ice Storm,1.80E+07,8038061,0.4,16011975,0.9,7973914,Fox †Searchlight,R,Drama
1110,"Friday, September 19, 1997",In & Out,3.50E+07,63826569,1.8,83226569,2.4,19400000,Paramount †Pictures,PG-13,Comedy
1108,"Friday, September 19, 1997",L.A. Confidential,3.50E+07,64604977,1.8,126204977,3.6,61600000,Warner †Bros.,R,Drama
1445,"Sunday, August 24, 1997",The Grimm Brothers' Snow White,2.60E+07,5000,0,5000,0,0,Gramercy,PG-13,Horror
3367,"Friday, August 22, 1997",Sunday,450000,410919,0.9,450349,1,39430,NA,NA,Drama
1486,"Friday, August 22, 1997",Money Talks,2.50E+07,41076865,1.6,41076865,1.6,0,New †Line,R,Action
765,"Friday, August 22, 1997",G.I. Jane,5.00E+07,48169156,1,48169156,1,0,Walt †Disney,R,Drama
2044,"Friday, August 15, 1997",Cop Land,1.50E+07,44906632,3,63706632,4.2,18800000,Miramax,R,Drama
622,"Friday, August 15, 1997",Event Horizon,6.00E+07,26673242,0.4,26673242,0.4,0,Paramount †Pictures,R,Horror
2006,"Friday, August 15, 1997",Steel,1.60E+07,1686429,0.1,1686429,0.1,0,Warner †Bros.,PG-13,Action
2992,"Wednesday, August 13, 1997",The Full Monty,3500000,45950122,13.1,261249383,74.6,215299261,Fox †Searchlight,R,Comedy
2282,"Wednesday, August 6, 1997",Def Jam's How To Be a Player,1.20E+07,14010363,1.2,14010363,1.2,0,Gramercy,R,Comedy
3036,"Friday, August 1, 1997",Air Bud,3.00E+06,24646936,8.2,27788649,9.3,3141713,Walt †Disney,PG,Adventure
955,"Thursday, July 31, 1997",Spawn,4.00E+07,54979992,1.4,87949859,2.2,32969867,New †Line,PG-13,Action
291,"Friday, July 25, 1997",Air Force One,8.50E+07,172956409,2,315268353,3.7,142311944,Sony †Pictures,R,Action
1481,"Friday, July 18, 1997",Nothing To Lose,2.50E+07,44480039,1.8,64594061,2.6,20114022,Walt †Disney,R,Comedy
665,"Wednesday, July 16, 1997",George Of The Jungle,5.50E+07,105263257,1.9,174463257,3.2,69200000,Walt †Disney,PG,Adventure
1404,"Friday, July 11, 1997",A Simple Wish,2.80E+07,8165213,0.3,8165213,0.3,0,Universal,PG,Comedy
265,"Friday, July 11, 1997",Contact,9.00E+07,100920329,1.1,165900000,1.8,64979671,Warner †Bros.,PG,Drama
255,"Tuesday, July 1, 1997",Men in Black,9.00E+07,250690539,2.8,587790539,6.5,337100000,Sony †Pictures,PG-13,Adventure
340,"Friday, June 27, 1997",Face/Off,8.00E+07,112276146,1.4,241200000,3,128923854,Paramount †Pictures,R,Action
831,"Friday, June 20, 1997",My Best Friend's Wedding,4.60E+07,126813153,2.8,298923419,6.5,172110266,Sony †Pictures,PG,Comedy
3290,"Friday, June 20, 1997",Dream With The Fishes,1.00E+06,542909,0.5,542909,0.5,0,Sony †Pictures †Classics,R,Drama
130,"Friday, June 20, 1997",Batman & Robin,1.25E+08,107325195,0.9,238317814,1.9,130992619,Warner †Bros.,PG-13,Action
177,"Friday, June 13, 1997",Speed 2: Cruise Control,1.10E+08,48097081,0.4,150468000,1.4,102370919,20th†Century†Fox,PG-13,Action
3090,"Friday, June 13, 1997",Ulee's Gold,2700000,9054736,3.4,15600000,5.8,6545264,Orion †Pictures,R,Drama
344,"Friday, June 6, 1997",Con Air,8.00E+07,101117573,1.3,224117573,2.8,123000000,Walt †Disney,R,Action
394,"Thursday, May 22, 1997",The Lost World: Jurassic Park,7.50E+07,229086679,3.1,618638999,8.2,389552320,Universal,PG-13,Action
240,"Friday, May 9, 1997",The Fifth Element,9.50E+07,63570862,0.7,263898761,2.8,200327899,Sony †Pictures,PG-13,Action
