ID,release_date,movie,production_budget,domestic_gross,domestic_gross_x,worldwide_gross,worldwide_gross_x,worldwide (without USA),distributor,mpaa_rating,genre
390,"Friday, July 8, 2016",The Secret Life of Pets,7.50E+07,368384330,4.9,886767422,11.8,518383092,Universal,PG,Adventure
2387,"Friday, July 1, 2016",The Purge: Election Year,1.00E+07,79042440,7.9,118557124,11.9,39514684,Universal,R,Horror
88,"Friday, July 1, 2016",The BFG,1.40E+08,55483770,0.4,199676255,1.4,144192485,Walt †Disney,PG,Adventure
22,"Friday, June 24, 2016",Independence Day: Resurgence,1.65E+08,103144286,0.6,384413934,2.3,281269648,20th†Century†Fox,PG-13,Action
3052,"Friday, June 24, 2016",Swiss Army Man,3.00E+06,4210454,1.4,5837111,1.9,1626657,A24,R,Drama
2654,"Friday, June 24, 2016",The Neon Demon,7500000,1333124,0.2,3559803,0.5,2226679,Broad †Green †Pictures,R,Horror
2190,"Friday, June 24, 2016",The Shallows,1.30E+07,55121623,4.2,118888025,9.1,63766402,Sony †Pictures,PG-13,Drama
792,"Friday, June 24, 2016",Free State of Jones,5.00E+07,20810036,0.4,23237175,0.5,2427139,STX †Entertainment,R,Drama
3102,"Friday, June 24, 2016",Hunt for the Wilderpeople,2500000,5205471,2.1,23845533,9.5,18640062,The †Orchard,PG-13,Comedy
734,"Friday, June 17, 2016",Central Intelligence,5.00E+07,127440871,2.5,217196811,4.3,89755940,Warner †Bros.,PG-13,Comedy
1963,"Friday, June 10, 2016",Genius,1.70E+07,1361045,0.1,6942889,0.4,5581844,Roadside †Attractions,PG-13,Drama
30,"Friday, June 10, 2016",Warcraft,1.60E+08,47225655,0.3,425547111,2.7,378321456,Universal,PG-13,Action
1781,"Friday, June 3, 2016",Popstar: Never Stop Never Stopping,2.00E+07,9496130,0.5,9537120,0.5,40990,Universal,R,Comedy
1699,"Friday, June 3, 2016",Me Before You,2.00E+07,56245075,2.8,208314186,10.4,152069111,Warner †Bros.,PG-13,Drama
15,"Friday, May 27, 2016",Alice Through the Looking Glass,1.70E+08,77042381,0.5,276934087,1.6,199891706,Walt †Disney,PG,Adventure
428,"Friday, May 20, 2016",The Angry Birds Movie,7.30E+07,107509366,1.5,352829528,4.8,245320162,Sony †Pictures,PG,Adventure
1115,"Friday, May 20, 2016",Neighbors 2: Sorority Rising,3.50E+07,55340730,1.6,108758521,3.1,53417791,Universal,R,Comedy
2947,"Friday, May 13, 2016",The Darkness,4.00E+06,10753574,2.7,10898293,2.7,144719,High †Top †Releasing,PG-13,Horror
2640,"Friday, May 6, 2016",Code of Honor,8.00E+06,0,0,0,0,0,Lionsgate †Premiere,R,Action
2569,"Friday, May 6, 2016",Dheepan,9.00E+06,248795,0,7704357,0.9,7455562,Sundance †Selects,R,Drama
1786,"Friday, April 29, 2016",Ratchet and Clank,2.00E+07,8813410,0.4,12769469,0.6,3956059,Focus †Features,PG,Adventure
2074,"Friday, April 29, 2016",Keanu,1.50E+07,20591853,1.4,20688141,1.4,96288,Warner †Bros.,R,Comedy
3059,"Friday, April 22, 2016",Compadres,3.00E+06,3127773,1,7445044,2.5,4317271,Lionsgate,R,Comedy
1180,"Friday, April 22, 2016",A Hologram for the King,3.50E+07,4212494,0.1,11848058,0.3,7635564,Roadside †Attractions,R,Drama
3024,"Friday, April 22, 2016",The Meddler,3200000,4267219,1.3,5526942,1.7,1259723,Sony †Pictures †Classics,PG-13,Comedy
154,"Friday, April 22, 2016",The Huntsman: Winter 's War,1.15E+08,48003015,0.4,165149302,1.4,117146287,Universal,PG-13,Action
2876,"Friday, April 15, 2016",Green Room,5.00E+06,3220371,0.6,3807503,0.8,587132,A24,R,Horror
1227,"Friday, April 15, 2016",Criminal,31500000,14708696,0.5,38771262,1.2,24062566,Lionsgate,R,Action
1918,"Friday, April 15, 2016",I Am Wrath,1.80E+07,0,0,309608,0,309608,Saban †Films,R,Action
1700,"Friday, April 15, 2016",Barbershop: The Next Cut,2.00E+07,54030051,2.7,54404202,2.7,374151,Warner †Bros.,PG-13,Comedy
1365,"Friday, April 8, 2016",The Boss,2.90E+07,63077560,2.2,78652395,2.7,15574835,Universal,R,Comedy
3317,"Friday, April 1, 2016",Meet the Blacks,9.00E+05,9097072,10.1,9097072,10.1,0,Freestyle †Releasing,R,Comedy
2834,"Friday, April 1, 2016",God 's Not Dead 2,5.00E+06,20773069,4.2,23562057,4.7,2788988,Pure †Flix †Entertain   ,PG,Drama
2480,"Wednesday, March 30, 2016",Everybody Wants Some,1.00E+07,3400278,0.3,5437126,0.5,2036848,Paramount †Pictures,R,Comedy
1868,"Friday, March 25, 2016",My Big Fat Greek Wedding 2,1.80E+07,59689605,3.3,92057814,5.1,32368209,Universal,PG-13,Comedy
173,"Friday, March 18, 2016",The Divergent Series: Allegiant,1.10E+08,66184051,0.6,171871661,1.6,105687610,Lionsgate,PG-13,Action
1913,"Friday, March 18, 2016",Midnight Special,1.80E+07,3712282,0.2,7680250,0.4,3967968,Warner †Bros.,PG-13,Drama
2188,"Wednesday, March 16, 2016",Miracles from Heaven,1.30E+07,61705123,4.7,73798720,5.7,12093597,Sony †Pictures,PG,Drama
1965,"Friday, March 11, 2016",The Young Messiah,16800000,6469813,0.4,7313697,0.4,843884,Focus †Features,PG-13,Drama
3300,"Friday, March 11, 2016",Creative Control,1.00E+06,63014,0.1,63014,0.1,0,Magnolia †Pictures,R,Drama
1175,"Friday, March 11, 2016",The Brothers Grimsby,3.50E+07,6864016,0.2,28721408,0.8,21857392,Sony †Pictures,R,Comedy
586,"Friday, March 4, 2016",London Has Fallen,6.00E+07,62524260,1,194094168,3.2,131569908,Focus †Features,R,Action
1149,"Friday, March 4, 2016",Whiskey Tango Foxtrot,3.50E+07,23083334,0.7,25350747,0.7,2267413,Paramount †Pictures,R,Comedy
40,"Friday, March 4, 2016",Zootopia,1.50E+08,341268248,2.3,1019706594,6.8,678438346,Walt †Disney,PG,Adventure
1603,"Friday, February 26, 2016",Eddie the Eagle,2.30E+07,15789389,0.7,45061177,2,29271788,20th†Century†Fox,PG-13,Drama
89,"Friday, February 26, 2016",Gods of Egypt,1.40E+08,31153464,0.2,138587563,1,107434099,Lionsgate,PG-13,Adventure
2995,"Friday, February 19, 2016",The Witch,3500000,25138705,7.2,40454520,11.6,15315815,A24,R,Horror
1719,"Friday, February 19, 2016",Risen,2.00E+07,36880033,1.8,46255763,2.3,9375730,Sony †Pictures,PG-13,Drama
638,"Friday, February 12, 2016",Deadpool,5.80E+07,363070709,6.3,801029249,13.8,437958540,20th†Century†Fox,R,Action
387,"Friday, February 12, 2016",The Little Prince,77500000,1311213,0,102029819,1.3,100718606,Entertainment †One,PG,Adventure
783,"Friday, February 12, 2016",Zoolander 2,5.00E+07,28848693,0.6,55348693,1.1,26500000,Paramount †Pictures,PG-13,Comedy
1628,"Friday, February 5, 2016","Hail, Caesar!",2.20E+07,30080225,1.4,64171419,2.9,34091194,Universal,PG-13,Comedy
82,"Friday, January 29, 2016",Kung Fu Panda 3,1.40E+08,143528619,1,518418751,3.7,374890132,20th†Century†Fox,PG,Adventure
2855,"Friday, January 29, 2016",Fifty Shades of Black,5.00E+06,11686940,2.3,22113075,4.4,10426135,Open †Road,R,Comedy
2328,"Friday, January 22, 2016",Dirty Grandpa,11500000,35593113,3.1,105241410,9.2,69648297,Lionsgate,R,Comedy
1049,"Friday, January 22, 2016",The 5th Wave,3.80E+07,34912982,0.9,111336398,2.9,76423416,Sony †Pictures,PG-13,Action
2408,"Friday, January 22, 2016",The Boy,1.00E+07,35819556,3.6,68220952,6.8,32401396,STX †Entertainment,PG-13,Horror
1087,"Friday, January 22, 2016",Yip Man 3,3.60E+07,2679437,0.1,157300954,4.4,154621517,Well †Go †USA,PG-13,Action
1892,"Friday, January 15, 2016",Norm of the North,1.80E+07,17062499,0.9,30535660,1.7,13473161,Lionsgate,PG,Adventure
929,"Friday, January 15, 2016",Ride Along 2,4.00E+07,90862685,2.3,124827316,3.1,33964631,Universal,PG-13,Comedy
3009,"Friday, January 8, 2016",The Masked Saint,3500000,182695,0.1,182695,0.1,0,Freestyle †Releasing,PG-13,Action
2622,"Wednesday, December 30, 2015",Anomalisa,8.00E+06,3759286,0.5,5538273,0.7,1778987,Paramount †Pictures,R,Adventure
97,"Friday, December 25, 2015",The Revenant,1.35E+08,183637894,1.4,532950503,3.9,349312609,20th†Century†Fox,R,Adventure
593,"Friday, December 25, 2015",Joy,6.00E+07,56451232,0.9,101134059,1.7,44682827,20th†Century†Fox,PG-13,Drama
732,"Friday, December 25, 2015",Daddy 's Home,5.00E+07,150357137,3,242757137,4.9,92400000,Paramount †Pictures,PG-13,Comedy
3190,"Friday, December 18, 2015",Saul fia,1700000,1777043,1,9696537,5.7,7919494,Sony †Pictures †Classics,R,Drama
1254,"Friday, December 18, 2015",Sisters,3.00E+07,87044645,2.9,106030660,3.5,18986015,Universal,R,Comedy
3361,"Friday, December 11, 2015",O Menino e o Mundo,5.00E+05,129479,0.3,271893,0.5,142414,GKIDS,PG,Adventure
1384,"Friday, December 11, 2015",The Big Short,2.80E+07,70259870,2.5,133162752,4.8,62902882,Paramount †Pictures,R,Drama
225,"Friday, December 11, 2015",In the Heart of the Sea,1.00E+08,25020758,0.3,89693309,0.9,64672551,Warner †Bros.,PG-13,Adventure
2219,"Friday, December 4, 2015",Youth,1.30E+07,2703296,0.2,24002112,1.8,21298816,Fox †Searchlight,R,Drama
1062,"Wednesday, November 25, 2015",Creed,3.70E+07,109767581,3,173567581,4.7,63800000,Warner †Bros.,PG-13,Drama
3226,"Friday, November 20, 2015",Mustang,1400000,845464,0.6,5545484,4,4700020,Cohen †Media †Group,PG-13,Drama
1483,"Friday, November 20, 2015",The Night Before,2.50E+07,43035725,1.7,52427346,2.1,9391621,Sony †Pictures,R,Comedy
2326,"Friday, November 20, 2015",Carol,11800000,12711491,1.1,42895440,3.6,30183949,Weinstein †Co.,R,Drama
1884,"Friday, November 13, 2015",Love the Coopers,1.80E+07,26302731,1.5,42227490,2.3,15924759,CBS †Films,PG-13,Comedy
1812,"Friday, November 13, 2015",My All-American,2.00E+07,2246000,0.1,2246000,0.1,0,Clarius †Entertainment,PG,Drama
1820,"Friday, November 13, 2015",By the Sea,2.00E+07,538460,0,3727746,0.2,3189286,Universal,R,Drama
1541,"Friday, November 13, 2015",The 33,2.50E+07,12227722,0.5,28400715,1.1,16172993,Warner †Bros.,PG-13,Drama
2322,"Wednesday, November 11, 2015",10 Days in a Madhouse,1.20E+07,14616,0,14616,0,0,Cafe †Pictures,R,Drama
230,"Friday, November 6, 2015",The Peanuts Movie,9.90E+07,130178411,1.3,250091610,2.5,119913199,20th†Century†Fox,G,Adventure
1708,"Friday, November 6, 2015",Spotlight,2.00E+07,45055776,2.3,92108847,4.6,47053071,Open †Road,R,Drama
2341,"Wednesday, November 4, 2015",Brooklyn,1.10E+07,38322743,3.5,62076141,5.6,23753398,Fox †Searchlight,PG-13,Drama
1405,"Friday, October 30, 2015",Our Brand is Crisis,2.80E+07,7002261,0.3,8592432,0.3,1590171,Warner †Bros.,R,Drama
1767,"Friday, October 30, 2015",Burnt,2.00E+07,13651946,0.7,36780895,1.8,23128949,Weinstein †Co.,R,Comedy
2167,"Friday, October 23, 2015",Suffragette,1.40E+07,4702420,0.3,34044909,2.4,29342489,Focus †Features,PG-13,Drama
372,"Friday, October 23, 2015",The Last Witch Hunter,8.00E+07,27367660,0.3,131437876,1.6,104070216,Lionsgate,PG-13,Action
2206,"Friday, October 16, 2015",Room,1.30E+07,14677674,1.1,36262783,2.8,21585109,A24,R,Drama
2207,"Friday, October 16, 2015",Woodlawn,1.30E+07,14394097,1.1,14403703,1.1,9606,Pure †Flix †Entertain   ,PG,Drama
640,"Friday, October 16, 2015",Goosebumps,5.80E+07,80069458,1.4,158905324,2.7,78835866,Sony †Pictures,PG,Horror
696,"Friday, October 16, 2015",Crimson Peak,5.50E+07,31090320,0.6,75466595,1.4,44376275,Universal,R,Horror
2320,"Friday, October 9, 2015",Trash,1.20E+07,17484,0,6553186,0.5,6535702,Focus †Features,R,Adventure
1328,"Friday, October 9, 2015",Steve Jobs,3.00E+07,17766658,0.6,35579007,1.2,17812349,Universal,R,Drama
69,"Friday, October 9, 2015",Pan,1.50E+08,35088320,0.2,151543635,1,116455315,Warner †Bros.,PG,Adventure
2712,"Friday, October 2, 2015",Freeheld,7.00E+06,546201,0.1,1732228,0.2,1186027,Lionsgate,PG-13,Drama
806,"Friday, October 2, 2015",Shanghai,5.00E+07,46425,0,15505922,0.3,15459497,Weinstein †Co.,R,Drama
1170,"Wednesday, September 30, 2015",The Walk,3.50E+07,10161183,0.3,61197045,1.7,51035862,Sony †Pictures,PG,Drama
3272,"Friday, September 25, 2015",The Green Inferno,1.00E+06,7192291,7.2,12931569,12.9,5739278,High †Top †Releasing,R,Horror
330,"Friday, September 25, 2015",Hotel Transylvania 2,8.00E+07,169700110,2.1,469500298,5.9,299800188,Sony †Pictures,PG,Adventure
938,"Friday, September 25, 2015",The Intern,4.00E+07,75764672,1.9,197232734,4.9,121468062,Warner †Bros.,PG-13,Comedy
3145,"Friday, September 18, 2015",Captive,2.00E+06,2583301,1.3,2791973,1.4,208672,Paramount †Pictures,PG-13,Drama
715,"Friday, September 18, 2015",Black Mass,5.30E+07,62575678,1.2,98837872,1.9,36262194,Warner †Bros.,R,Drama
2869,"Friday, September 11, 2015",90 Minutes in Heaven,5.00E+06,4816142,1,4816142,1,0,Samuel †Goldwyn †Films,PG-13,Drama
1638,"Friday, September 4, 2015",The Transporter Refueled,2.20E+07,16029670,0.7,69698495,3.2,53668825,EuropaCorp,PG-13,Action
542,"Friday, September 4, 2015",Tian jiang xiong shi,6.50E+07,74070,0,122519874,1.9,122445804,Lionsgate,R,Action
3077,"Friday, September 4, 2015",Before We Go,3.00E+06,37151,0,483938,0.2,446787,Radius,PG-13,Drama
3244,"Friday, August 28, 2015",Que Horas Ela Volta?,1200000,376976,0.3,3247411,2.7,2870435,Oscilloscope †Pictures,R,Drama
3031,"Friday, August 28, 2015",War Room,3.00E+06,67790117,22.6,73975239,24.7,6185122,Sony †Pictures,PG,Drama
3142,"Friday, August 28, 2015",We Are Your Friends,2.00E+06,3591417,1.8,10166209,5.1,6574792,Warner †Bros.,R,Drama
1151,"Friday, August 21, 2015",Hitman: Agent 47,3.50E+07,22467450,0.6,81959582,2.3,59492132,20th†Century†Fox,R,Action
2426,"Friday, August 21, 2015",Sinister 2,1.00E+07,27740955,2.8,54104225,5.4,26363270,Focus †Features,R,Horror
1378,"Friday, August 14, 2015",Straight Outta Compton,2.80E+07,161197785,5.8,202182981,7.2,40985196,Universal,R,Drama
413,"Friday, August 14, 2015",The Man From U.N.C.L.E.,7.50E+07,45445109,0.6,105445109,1.4,60000000,Warner †Bros.,PG-13,Action
1881,"Friday, August 7, 2015",Ricki and the Flash,1.80E+07,26839498,1.5,41166033,2.3,14326535,Sony †Pictures,PG-13,Drama
3151,"Friday, August 7, 2015",The Diary of a Teenage Girl,2.00E+06,1477002,0.7,2279959,1.1,802957,Sony †Pictures †Classics,R,Drama
1518,"Wednesday, August 5, 2015",Shaun the Sheep,2.50E+07,19375982,0.8,101927062,4.1,82551080,Lionsgate,PG,Adventure
49,"Friday, July 31, 2015",Mission: Impossible  îRogue Nation,1.50E+08,195042377,1.3,689388363,4.6,494345986,Paramount †Pictures,PG-13,Action
1233,"Wednesday, July 29, 2015",Vacation,3.10E+07,58884188,1.9,101627989,3.3,42743801,Warner †Bros.,R,Comedy
2262,"Friday, July 24, 2015",Paper Towns,1.20E+07,32000304,2.7,85512300,7.1,53511996,20th†Century†Fox,PG-13,Drama
2222,"Friday, July 24, 2015",The Vatican Tapes,1.30E+07,1784763,0.1,14999638,1.2,13214875,Lionsgate,PG-13,Horror
269,"Friday, July 24, 2015",Pixels,9.00E+07,78765986,0.9,244041804,2.7,165275818,Sony †Pictures,PG-13,Adventure
1283,"Friday, July 24, 2015",Southpaw,3.00E+07,52421953,1.7,94207861,3.1,41785908,Weinstein †Co.,R,Drama
2530,"Tuesday, July 21, 2015",American Heist,1.00E+07,0,0,0,0,0,Lionsgate,R,Action
1101,"Friday, July 17, 2015",Trainwreck,3.50E+07,110212700,3.1,141123897,4,30911197,Universal,R,Comedy
108,"Friday, July 17, 2015",Ant-Man,1.30E+08,180202163,1.4,518860086,4,338657923,Walt †Disney,PG-13,Action
2521,"Friday, July 10, 2015",Strangerland,1.00E+07,17472,0,161097,0,143625,Alchemy,R,Drama
427,"Friday, July 10, 2015",Minions,7.40E+07,336045770,4.5,1162781621,15.7,826735851,Universal,PG,Adventure
33,"Wednesday, July 1, 2015",Terminator: Genisys,1.55E+08,89760956,0.6,432150894,2.8,342389938,Paramount †Pictures,PG-13,Action
2128,"Wednesday, July 1, 2015",Magic Mike XXL,14500000,66013057,4.6,123709460,8.5,57696403,Warner †Bros.,R,Comedy
1964,"Friday, June 26, 2015",Escobar: Paradise Lost,1.70E+07,195792,0,3917679,0.2,3721887,RADiUS-TWC,R,Drama
489,"Friday, June 26, 2015",Ted 2,6.80E+07,81476385,1.2,217214143,3.2,135737758,Universal,R,Comedy
1709,"Friday, June 26, 2015",Max,2.00E+07,42656255,2.1,43658157,2.2,1001902,Warner †Bros.,PG,Adventure
2973,"Friday, June 19, 2015",Manglehorn,4.00E+06,132270,0,797439,0.2,665169,IFC †Films,PG-13,Drama
2678,"Friday, June 19, 2015",Dope,7.00E+06,17506470,2.5,18190831,2.6,684361,Open †Road,R,Comedy
2619,"Friday, June 12, 2015",Me and Earl and the Dying Girl,8.00E+06,6758416,0.8,9266180,1.2,2507764,Fox †Searchlight,PG-13,Drama
511,"Friday, June 5, 2015",Spy!,6.50E+07,110825712,1.7,233121406,3.6,122295694,20th†Century†Fox,R,Comedy
2131,"Friday, June 5, 2015",Freedom,14500000,0,0,872757,0.1,872757,ARC Entertainment,R,Drama
2394,"Friday, June 5, 2015",Insidious Chapter 3,1.00E+07,52218558,5.2,120678444,12.1,68459886,Focus †Features,PG-13,Horror
1311,"Wednesday, June 3, 2015",Entourage,3.00E+07,32363404,1.1,46362449,1.5,13999045,Warner †Bros.,R,Comedy
1072,"Friday, May 29, 2015",Aloha,3.70E+07,21052030,0.6,24935799,0.7,3883769,Sony †Pictures,PG-13,Drama
161,"Friday, May 29, 2015",San Andreas,1.10E+08,155190832,1.4,457199280,4.2,302008448,Warner †Bros.,PG-13,Adventure
3343,"Friday, May 22, 2015",Drunk Wedding,6.00E+05,3301,0,3301,0,0,Paramount †Pictures,R,Comedy
2635,"Friday, May 22, 2015",Aloft,8.00E+06,53086,0,53086,0,0,Sony †Pictures †Classics,R,Drama
14,"Friday, May 22, 2015",Tomorrowland,1.70E+08,93436322,0.5,207283457,1.2,113847135,Walt †Disney,PG,Adventure
2657,"Friday, May 15, 2015",Pound of Flesh,7500000,0,0,0,0,0,Entertainment †One,R,Action
3305,"Friday, May 15, 2015",Childless,1.00E+06,1036,0,1036,0,0,Monterey †Media,R,Drama
1362,"Friday, May 15, 2015",Pitch Perfect 2,2.90E+07,184296230,6.4,287641616,9.9,103345386,Universal,PG-13,Comedy
55,"Friday, May 15, 2015",Mad Max: Fury Road,1.50E+08,153636354,1,370651733,2.5,217015379,Warner †Bros.,R,Action
2572,"Friday, May 8, 2015",Skin Trade,9.00E+06,1242,0,1242,0,0,Magnolia †Pictures,R,Action
2917,"Friday, May 8, 2015",Maggie,4500000,187112,0,664346,0.1,477234,Roadside †Attractions,PG-13,Drama
3175,"Friday, April 24, 2015",Brotherly Love,1900000,478595,0.3,478595,0.3,0,Freestyle †Releasing,R,Drama
1295,"Friday, April 24, 2015",The Age of Adaline,3.00E+07,42629776,1.4,69057415,2.3,26427639,Lionsgate,PG-13,Drama
1798,"Friday, April 24, 2015",Little Boy,2.00E+07,6485961,0.3,17768390,0.9,11282429,Open †Road,PG-13,Drama
1614,"Friday, April 24, 2015",The Water Diviner,22500000,4200117,0.2,30864649,1.4,26664532,Warner †Bros.,R,Drama
1043,"Friday, April 17, 2015",Paul Blart: Mall Cop 2,3.80E+07,71091594,1.9,107650646,2.8,36559052,Sony †Pictures,PG,Adventure
3259,"Friday, April 17, 2015",Unfriended,1.00E+06,32789645,32.8,62869004,62.9,30079359,Universal,R,Horror
1186,"Friday, April 10, 2015",The Longest Ride,3.40E+07,37446117,1.1,63802928,1.9,26356811,20th†Century†Fox,PG-13,Drama
3303,"Friday, April 10, 2015",The Sisterhood of Night,1.00E+06,6870,0,6870,0,0,Freestyle †Releasing,PG-13,Drama
2971,"Friday, April 10, 2015",Desert Dancer,4.00E+06,155271,0,338109,0.1,182838,Relativity,PG-13,Drama
2344,"Wednesday, April 1, 2015",Woman in Gold,1.10E+07,33307793,3,57019592,5.2,23711799,Weinstein †Co.,PG-13,Drama
109,"Friday, March 27, 2015",Home,1.30E+08,177397510,1.4,386031994,3,208634484,20th†Century†Fox,PG,Adventure
2462,"Friday, March 27, 2015",While We're Young,1.00E+07,7582065,0.8,14956484,1.5,7374419,A24,R,Comedy
931,"Friday, March 27, 2015",Get Hard,4.00E+07,90411453,2.3,106511453,2.7,16100000,Warner †Bros.,R,Comedy
2473,"Friday, March 20, 2015",Danny Collins,1.00E+07,5637066,0.6,7501132,0.8,1864066,Bleecker †Street,R,Comedy
164,"Friday, March 20, 2015",The Divergent Series: Insurgent,1.10E+08,130179072,1.2,295075882,2.7,164896810,Lionsgate,PG-13,Action
3113,"Friday, March 20, 2015",Do You Believe?,2300000,12985600,5.6,14305450,6.2,1319850,Pure †Flix †Entertain   ,PG-13,Drama
1446,"Tuesday, March 17, 2015",Accidental Love,2.60E+07,0,0,135436,0,135436,Alchemy,PG-13,Comedy
1184,"Friday, March 13, 2015",The Lovers,3.50E+07,0,0,11106,0,11106,IFC †Films,PG-13,Adventure
3128,"Friday, March 13, 2015",It Follows,2.00E+06,14674077,7.3,23250755,11.6,8576678,RADiUS-TWC,R,Horror
234,"Friday, March 13, 2015",Cinderella,9.50E+07,201151353,2.1,534551353,5.6,333400000,Walt †Disney,PG,Drama
785,"Friday, March 13, 2015",Run All Night,5.00E+07,26461644,0.5,66961644,1.3,40500000,Warner †Bros.,R,Action
1169,"Friday, March 6, 2015",Unfinished Business,3.50E+07,10219501,0.3,12819501,0.4,2600000,20th†Century†Fox,R,Comedy
808,"Friday, March 6, 2015",Chappie,4.90E+07,31569268,0.6,105002056,2.1,73432788,Sony †Pictures,R,Action
2827,"Friday, February 27, 2015",The Lazarus Effect,5.00E+06,25801570,5.2,35341814,7.1,9540244,Lionsgate,PG-13,Horror
2580,"Friday, February 20, 2015",The DUFF,8500000,34030343,4,43528634,5.1,9498291,CBS †Films,PG-13,Comedy
2160,"Friday, February 20, 2015",Hot Tub Time Machine 2,1.40E+07,12314651,0.9,12452601,0.9,137950,Paramount †Pictures,R,Comedy
